id,claim_complexity,time,time_complexity,math,dataset
e1d2bc82-5d10-4bad-b8f0-a81dbe90c708,4,0,0,1,Hover
c549b72f-994d-45ca-b06c-b147ebfa78a9,1,1,1,0,Hover
ae135b20-4b9c-4867-a6ef-f04eadc6bae2,1,1,1,0,Hover
782ffe07-e5e7-467b-8c10-11c840ecb019,1,1,1,0,Hover
c3c70a66-7aea-445f-94b4-de8e43640b4e,3,3,1,0,Hover
86c0b7db-25c0-47c9-affd-24f24c64e230,4,1,1,0,Hover
2ada896c-1f4c-44df-8e16-424c4c81d50f,3,1,1,0,Hover
7c03abd7-0952-49a8-8f14-a3699d591aab,1,1,1,0,Hover
79b8b635-734d-4db4-99a3-3d474b6cdbdc,2,1,1,0,Hover
ea6f9f3d-b15b-4c7a-8cee-5e5dc6c7bfeb,4,3,2,0,Hover
0355c2bd-d7e5-43e3-b94f-6cdddfcb7201,4,3,2,0,Hover
64942b1b-b7f4-4c7a-b0fc-223d154cccb0,1,0,0,0,Hover
02d1dcaa-8b8d-4df1-826e-bef931dc655c,2,3,1,0,Hover
7750b7d6-6330-47a1-9f61-a4d0523f7749,2,3,1,0,Hover
ef70d951-53bb-4761-9f48-f25651aa1545,3,1,1,0,Hover
a562dae5-04fb-42c2-9a2a-ae26231c30f9,1,3,1,0,Hover
1cebd517-1f54-4682-a26d-21bc62c39074,1,1,1,0,Hover
e1385038-caf7-4331-a66d-c1ff57e19a75,2,3,1,0,Hover
f0fdea96-9d5e-48aa-a3f4-228ddaea64cf,x,x,x,x,Hover
d53eff8e-f58c-4617-92b2-245c14983946,3,1,1,0,Hover
6a07ce84-560d-4059-b723-6e963739222c,2,0,0,0,Hover
0509a8f5-fa09-4858-a075-15f0c7b5ffcc,1,1,1,0,Hover
e85880a8-2d96-4648-ae80-e57364bee3dd,x,x,x,x,Hover
b9c39b38-1ade-4b6c-b4ca-19b49a871066,2,3,1,0,Hover
e8e8c01a-38a7-48be-ae73-2a43a29ff366,2,3,2,0,Hover
1a9b9ef2-512b-4167-b751-582efeb3c6de,4,1,1,0,Hover
31d73629-1509-427e-a181-b699c1ddc71f,2,1,1,0,Hover
d2890685-34ca-4964-9e2b-9233068d3b3e,2,3,1,0,Hover
74328ca2-e362-4a5d-baba-2a5efd76e6c4,2,1,1,0,Hover
d072a630-a5fb-4cc2-beeb-f7e9c369a83f,4,1,1,0,Hover
d359b6c0-4641-4dda-9d74-c1c752b49f40,2,3,1,0,Hover
5254cd50-8a4e-44c7-917b-79f901c181a1,2,1,1,0,Hover
17ae65a0-dfec-45f7-9c67-bd259c58c68a,3,1,1,0,Hover
e57a1244-1c43-4b46-af16-b26dfc097c88,3,3,1,0,Hover
4bbebd7e-8453-45fb-bde5-f3295a142934,1,3,1,0,Hover
1e8bb9d7-2d67-45ac-bedb-ec8d94ea9b27,1,3,1,0,Hover
303b4b4a-afc3-44ef-aedf-33969fcb4481,2,3,1,0,Hover
e099cca4-e61f-420e-a5d8-fecd92d1898f,2,0,0,0,Hover
6d98ff4a-9677-4ee9-a085-873bd79dab94,2,0,0,0,Hover
679e7f6d-82df-4625-ab24-c9452f847b35,2,3,2,0,Hover
937619f8-ff0e-4d0f-96ba-a20e2700bdca,3,1,1,0,Hover
57cac1ff-298f-430e-b1d9-c9c8d8baec79,4,1,1,0,Hover
bcce72ac-5b69-4fe4-810f-18724ba67605,3,0,0,0,Hover
554326d6-be1f-4327-bc29-9ad505d6be66,2,3,1,0,Hover
d7d31bb1-4249-45b9-ac3f-f8d74b80f3ce,1,0,0,0,Hover
cb898c4a-85c8-4b07-9248-e8f0b3b47058,2,0,0,0,Hover
e3ceb3fd-cf0a-4395-8f8c-0d0431878a51,2,0,0,0,Hover
950577b4-75ab-4ec9-be77-2860119f4c62,2,1,1,0,Hover
c633f12b-d6fb-4980-8bbb-682a5d5158ff,2,1,1,0,Hover
91c8fc5f-e066-4f4e-ba76-5471011df727,1,0,0,0,Hover
5dbfbe14-7129-4d68-89e8-433f26cf5456,2,1,1,0,Hover
e638a071-fe0b-4605-b0be-2ebad5903efd,2,3,2,0,Hover
30ee3588-bc21-47db-9884-3983941c33a1,1,3,1,0,Hover
0ab5aadb-4593-4d11-8005-801895f800a8,2,1,1,0,Hover
0e265b65-34e1-489f-b2f4-f89e74f901c2,1,2,1,0,Hover
d584812f-e17e-404e-b72e-1e15b2a195a3,2,3,2,0,Hover
c3f0f1c7-57b1-43ad-bd4a-1dde37213dc7,2,3,1,0,Hover
7d9d2cc4-96b0-4995-8dec-012edae4e6de,4,3,1,0,Hover
957b17f8-3490-4821-845b-4858bb5cd7ca,4,2,1,0,Hover
82f6368b-a7af-41b7-800d-3fcb2e12ff4c,1,3,1,0,Hover
1d23cf17-2385-4a7d-b7c1-37343d685df7,2,1,1,0,Hover
b8425c80-a2a6-49f8-982c-aca4b483b2e4,2,3,2,0,Hover
9fd3e2e2-11ca-4718-98d3-997ae043bdaf,2,3,1,0,Hover
fb96aa92-f291-4a35-84b6-d2133d950103,2,1,1,0,Hover
a0f4ca10-9552-487f-8953-b4a7f5b6509f,2,0,0,0,Hover
1bcafcb6-ca33-4f32-aab3-79a46138e873,2,1,1,0,Hover
da74b57b-f7f5-4fb9-bb3f-14d0a1faa731,2,0,0,0,Hover
da8ac831-1789-488a-ace4-f970e28667f0,3,1,1,0,Hover
